Version,11.0
EXT Filename,C:\fNIRS\UserData\subject 26\session 01.csv
Date,2019/08/30 111918
Records,25
Data Folder,
.OMM Filename,NIRS_20190830_111903.OMM
.PROT Filename,session1.pro
Gain Pattern Filename,
Start Time,Protocol Type,Pre.Rest,Task,Pos.Rest
00:00:02.02,1,2.000000,10.000000,17.000000
00:00:31.05,2,2.000000,10.000000,18.000000
00:01:01.05,3,2.000000,10.000000,19.000000
00:01:32.03,4,2.000000,10.000000,18.000000
00:02:02.03,5,2.000000,10.000000,19.000000
00:02:33.07,6,2.000000,10.000000,17.000000
00:03:02.02,7,2.000000,10.000000,17.000000
00:03:31.05,8,2.000000,10.000000,18.000000
00:04:01.05,9,2.000000,10.000000,19.000000
00:04:32.02,10,2.000000,10.000000,19.000000
00:05:03.07,11,2.000000,10.000000,18.000000
00:05:33.07,12,2.000000,10.000000,17.000000
00:06:02.02,13,2.000000,10.000000,18.000000
00:06:32.02,14,2.000000,10.000000,17.000000
00:07:01.05,15,2.000000,10.000000,19.000000
00:07:32.02,16,2.000000,10.000000,19.000000
00:08:03.07,17,2.000000,10.000000,18.000000
00:08:33.07,18,2.000000,10.000000,17.000000
00:09:02.02,19,2.000000,10.000000,18.000000
00:09:32.02,20,2.000000,10.000000,17.000000
00:10:01.05,21,2.000000,10.000000,19.000000
00:10:32.03,22,2.000000,10.000000,17.000000
00:11:01.05,23,2.000000,10.000000,18.000000
00:11:31.05,24,2.000000,10.000000,19.000000
00:12:02.03,25,2.000000,10.000000,17.000000
